split,filename,image_sha256,mask_sha256,unknown_pixels,pixels,patient_id
train,1.png,68d5b6428ee59f473d8e58bb4d9ecc4f23f07f737d4a0be2c5410662801715cd,c36cc5abb7d002238657c26e54263f3379de7612ca985e492398384fb51220b4,2978,262144,unknown
train,2.png,509793d0aea91a56c5b51492fed89010faee3dac3a3d69846bffa4bec0caf498,7efb06fc28b031640cdb1eb48387823c95e4acfc5edfdff74837597f416fcdcf,4112,262144,unknown
train,3.png,471044d8d83fcd1f2aff274e127ee06559193b9a854ee96252b2cbb785fd0ccc,55144e277026557e91697b397d2eaba3742843e6e4be003a8b79541dd8d5feab,4021,262144,unknown
train,4.png,bb61c0f9a7c2e97dcae6521e73bf2d16846b34929b45e46c8d72764504a5146d,82158482177dbae7498d3223e9de399962f904d86403d0869b49c0ccd514c81e,2255,262144,unknown
train,5.png,c63c6c74688cdb5f53a60f036b937ab01ef34992eaae70bdabb27e4d2817adc1,47ae86b5b01820d2a7768c847fd2ab86c06a6c3257bb7313fdaa00054578d5bf,4844,262144,unknown
train,6.png,9d8b5d5733617a43d41b75b98590deadcfbd2ff08e066fa9dd44a7aa44ea314f,4ce00e10c9503fff1c563da94741342a3035aecfab2fca72f3449bd5328fc19d,5635,262144,unknown
train,7.png,28e7adad741ce5dbcacbbb0734df10b72a3b19a75cdd51684c8ef887869a5baa,1dfe2903477e3d81c8cfdb640931b8fab201bcc959c6452fc77cd959bcdac0d5,5487,262144,unknown
train,8.png,4f0980a30bfa618e8f681a561dc71cf0ce060b09af62599d5a72bfaa677eda61,105270d4c5b07a4f2383977b9e6c117637191e84891633dc731261a06037355f,6372,262144,unknown
train,9.png,d6a1d6d78ac0d27d5caa74256179cc961270e11baa25dd80e5740d6f8f28301a,8e417a1d7d8fce5119ad99de0e22522e1cd9efd3a720707d011d0e6f6df803cc,6428,262144,unknown
train,10.png,83a74883a8f4d25cfaf60bb6037f89dd053bcd91e59d9b66ad7722adcd3955af,21598f8ea0746c168375f48bb480467f3b977a9c1855a3fa66ddc8620f7457b1,5658,262144,unknown
train,11.png,12234a38e2311d16bc568e5ea8828c7e326d78ac1d27258bbc3a33f758e594ad,2c5f5e3e7be00f61dc3acd048b119643d300cde1286e01908f5a4a8684f958b2,5483,262144,unknown
train,12.png,53599440752f849758733c3e4e5a0f1c1075f5ff4bf8952dc72bc2c37ce41d89,1d0e9fb3efadace40e07ed1ca15d23e64b6a85f3c1a2b6f8f59de4b38bb10913,5005,262144,unknown
train,13.png,583d42eb63ea3fb56bd557264b9d0f1b266ae3fd3fa26108f3d17334b39ca1b5,23878030312cca79b5aaab5c4db566319260cc2773406304cc9b1e0d2e491948,1193,262144,unknown
train,14.png,e9de9b1f411bc942ea96533def5b9692a06db2f45372446cecdf60ed311d37bb,247ca786886177a8881cdf94594825b116318b7ded33e073f90891aadd14b758,2707,262144,unknown
train,15.png,1e226904947d687361a037a358fae852a74856d58cf1981d2fe6ff4b44f5d094,1c913ac92b4ce3bd2496afdbd3ef32adbdc0ffbeec3c702a47664c2d0c9d68bd,6110,262144,unknown
train,16.png,7713d6e6d487ce3113e11195f2d3860638e045c7d34e8be2aef2afdab4351c01,5cea85c5671c850dcfce82f2be2e5a5be01aad5932f107f13e0644e840fb2e37,5661,262144,unknown
train,17.png,baa34c62b9b9e183af476b6a44410133233e0b9f3042df29fc3d23ced82b698f,2eb5c52bb11a809d8c17ca25e93ffaf1594b39953f94b834028f5e7212c9ff2c,4065,262144,unknown
train,18.png,7a075660024d82890e91e29b8e26d1488cbe9db74d863c2f4068db5d4509f99a,b929d998f9d3f72a3e08358d08290719e5eb9955c70ebe0c13fe571325ca2dcd,2048,262144,unknown
train,19.png,8a23c7cc17132a932958435314120cfa0cbcb47741e3039748c9b032540de3d5,43c1321eaa7f77d2c9445ff2dd296dab99cd3b456534d0727f55d47867181555,1000,262144,unknown
train,20.png,626a09e295e9748540e7a1bf4434ca0516478536de19151c936473363d820194,75fec99fdfd04f1189b424bff97a443f994930efedb6a75c7760144cc1588db8,3773,262144,unknown
train,21.png,5b849a3a0c9b6ff8151d5069887da01d0889b8cb902580104e5931ee3f7be38e,5a2f05f8ef851c6e958d6a320b04a53577a398a9e5abdc1b090e4fecb16d65f0,4862,262144,unknown
train,22.png,9e838efe1f0f7edccc915af76ba70217ea6261949342f8c870bc2ca9eb36c50e,1e73ac1ff7366c579eb8118b8efd2fbdaafb35c5fe61e402c22adcf22573075f,5975,262144,unknown
train,23.png,bc6a8f4e0d611002f903e012ec7d80434751b6cf56afb52c15c09373db8058f6,96b8a472d3f6b70ea8af19333d57a50b6cc0bb49554b37168034adcd37b1f076,5934,262144,unknown
train,24.png,157f5a27642453846bc0ce8443251a1456cf6a5d219ba852033af0a2adae0f9c,d17eed90cd2079be834dcd418a87d15dc9d8af34e68ed07adfe683907df92ecd,7311,262144,unknown
train,25.png,99c8d44e04f1f5cc3b4b3cc1018dc094c6bfa496d88e2a01f08e7f106442eb21,e57fd3a903ab841dccf09f6737ddfcd3eb412f04f63fd3847398755b79dd01f1,7353,262144,unknown
train,26.png,a749479c7c44b1cc5ed0bd0a16f2f4639e542f5ca7b211eeed2b5094eb75a747,cbf6993dfe0fb261221399f9a62276218a222595348ec2dc3b0d96e51439e52e,6910,262144,unknown
train,27.png,19ddcb8bee973b6558e31c74a418cf586022373bc6ac2bf76194e20e23c27ff6,79b28daef06c9865e7943929dd7dca3db84f844b296f7c5512433b84d88c6154,6855,262144,unknown
train,28.png,a10dfa90aa5311f373a1649895e77776d79b5cc6261314cf6270e37812ad3680,9f4eaf95eab56fd9981cdd62b3f10b9cb2a9a2927a0996a4040f47dab12607ac,2385,262144,unknown
train,29.png,0ea2b8811cf83e8c9195292608f3e4220c2ad039a4f6a4ee5115258dfdd99890,7b034c9cbfdb83865955ff8e4d0214e1ca6c2799b6ca50b45fd8013d86afc7ce,3846,262144,unknown
train,30.png,7e15934ea8393b6361b8e9dfd5241bf54c524e8cac9f374f184d5025c3e3d261,2067f12b0606a167be7d8b491c27c5d6179b9b9f9469d28993a27c585f3a18c1,4697,262144,unknown
train,31.png,ec6854cdf9aee86d8db49e0f63ca60d6a4022708e1734106d970d03cbfb49442,92b762d790bdb44b2c2bd9bc32f650be0abefb5efae3c4226bc4f30faa6da18d,2492,262144,unknown
train,32.png,808d404ca2c8307628973680d969228273ad1c72afcbef16d94729db41755052,1f3515d786e2946c8688f9ed854e54b67a2cfd21fbea3e61faeb36a94b39a0ed,4687,262144,unknown
train,33.png,37781577b52625edbab43c6e38c250bbe16ff898a4cac3794b50731b9a35cc00,c5284a5a541ada0f6ebacf0fdff6fdad72bb0dde4397dfe81d77ac853b5dac99,5319,262144,unknown
